//Want13 - Scripts
"!SS_SCRIP16" "wanted/nagatow/niscript0.wav"
"!SC_ANSWER16" "wanted/masala/nbuhhuh.wav"
"!SC_ANSWER17" "wanted/masala/nbummerrr.wav"
"!SC_ANSWER18" "wanted/masala/nbno.wav"
"!SC_ANSWER19" "wanted/masala/nbsoundpale.wav"
"!SC_ANSWER20" "wanted/masala/nbasktika.wav"
"!SC_ANSWER21" "wanted/masala/nbuhhuh.wav"
"!SC_ANSWER22" "wanted/masala/nbummerrr.wav"
"!SC_ANSWER23" "wanted/masala/nbno.wav"
"!SC_ANSWER24" "wanted/masala/nbsoundpale.wav"
"!SC_ANSWER25" "wanted/masala/nbasktika.wav"
"!SC_ANSWER26" "wanted/masala/nbuhhuh.wav"
"!SC_ANSWER27" "wanted/masala/nbummerrr.wav"
"!SC_ANSWER28" "wanted/masala/nbno.wav"
"!SC_ANSWER29" "wanted/masala/nbsoundpale.wav"

//Generic Questions
"!SC_QUESTION0" "wanted/masala/nbhappyan.wav"
"!SC_QUESTION1" "wanted/masala/nbloincloth.wav"
"!SC_QUESTION2" "wanted/masala/nbnosquaws.wav"
"!SC_QUESTION3" "wanted/masala/nbwhiskey.wav"
"!SC_QUESTION4" "wanted/masala/nbthreelegs.wav"
"!SC_QUESTION5" "wanted/masala/nbhappyan.wav"
"!SC_QUESTION6" "wanted/masala/nbloincloth.wav"
"!SC_QUESTION7" "wanted/masala/nbnosquaws.wav"
"!SC_QUESTION8" "wanted/masala/nbwhiskey.wav"
"!SC_QUESTION9" "wanted/masala/nbthreelegs.wav"
"!SC_QUESTION10" "wanted/masala/nbhappyan.wav"
"!SC_QUESTION11" "wanted/masala/nbloincloth.wav"
"!SC_QUESTION12" "wanted/masala/nbnosquaws.wav"
"!SC_QUESTION13" "wanted/masala/nbwhiskey.wav"
"!SC_QUESTION14" "wanted/masala/nbthreelegs.wav"
"!SC_QUESTION15" "wanted/masala/nbhappyan.wav"
"!SC_QUESTION16" "wanted/masala/nbloincloth.wav"
"!SC_QUESTION17" "wanted/masala/nbnosquaws.wav"
"!SC_QUESTION18" "wanted/masala/nbwhiskey.wav"
"!SC_QUESTION19" "wanted/masala/nbthreelegs.wav"
"!SC_QUESTION20" "wanted/masala/nbhappyan.wav"
"!SC_QUESTION21" "wanted/masala/nbloincloth.wav"
"!SC_QUESTION22" "wanted/masala/nbnosquaws.wav"
"!SC_QUESTION23" "wanted/masala/nbwhiskey.wav"
"!SC_QUESTION24" "wanted/masala/nbthreelegs.wav"
"!SC_QUESTION25" "wanted/masala/nbhappyan.wav"
"!SC_QUESTION26" "wanted/masala/nbloincloth.wav"

//Masala is Idle - No slur intended
"!SC_IDLE0" "wanted/masala/nbthirsty.wav"
"!SC_IDLE1" "wanted/masala/nbkinky.wav"
"!SC_IDLE2" "wanted/masala/nbillshowim.wav"
"!SC_IDLE3" "wanted/masala/nbcrazywoman.wav"
"!SC_IDLE4" "wanted/masala/nbthirsty.wav"
"!SC_IDLE5" "wanted/masala/nbkinky.wav"
"!SC_IDLE6" "wanted/masala/nbillshowim.wav"
"!SC_IDLE7" "wanted/masala/nbcrazywoman.wav"
"!SC_IDLE8" "wanted/masala/nbthirsty.wav"
"!SC_IDLE9" "wanted/masala/nbkinky.wav"
"!SC_IDLE10" "wanted/masala/nbillshowim.wav"
"!SC_IDLE11" "wanted/masala/nbcrazywoman.wav"
"!SC_IDLE12" "wanted/masala/nbthirsty.wav"
"!SC_IDLE13" "wanted/masala/nbkinky.wav"

// Warning Player
"!SC_NOGO" "wanted/masala/nbdanger.wav"

// Sees monster
"!SC_MONST0" "wanted/masala/nbrun.wav"
"!SC_MONST1" "wanted/masala/nbrun.wav"

//Hears something
"!SC_HEAR0" "wanted/masala/nbquiet.wav"
"!SC_HEAR1" "wanted/masala/nbquiet.wav"
"!SC_HEAR2" "wanted/masala/nbquiet.wav"

//Smells Something
"!SC_SMELL0" "wanted/masala/nboldshoes.wav"
"!SC_SMELL1" "wanted/masala/nboldshoes.wav"
"!SC_SMELL2" "wanted/masala/nboldshoes.wav"
"!SC_SMELL3" "wanted/masala/nboldshoes.wav"

//Masala is Wounded
"!SC_WOUND0" "wanted/masala/nbouch.wav"
"!SC_WOUND1" "wanted/masala/nbaagghh.wav"

//Masala is mortaly wounded
"!SC_MORTAL0" "wanted/masala/nbergg.wav"
"!SC_MORTAL1" "wanted/masala/nbergg.wav"

//Sees wounded player
"!SC_CUREA" "wanted/masala/nbcure.wav"
"!SC_CUREB" "wanted/masala/nbcure.wav"
"!SC_CUREC" "wanted/masala/nbcure.wav"

//Player USES when wounded
"!SC_HEAL0" "wanted/masala/nbheal.wav"
"!SC_HEAL1" "wanted/masala/nbheal.wav"
"!SC_HEAL2" "wanted/masala/nbheal.wav"
"!SC_HEAL3" "wanted/masala/nbheal.wav"
"!SC_HEAL4" "wanted/masala/nbheal.wav"
"!SC_HEAL5" "wanted/masala/nbheal.wav"
"!SC_HEAL6" "wanted/masala/nbheal.wav"
"!SC_HEAL7" "wanted/masala/nbheal.wav"

//Masala is terrified
"!SC_FEAR0" "wanted/masala/nbprotectme.wav"
"!SC_FEAR1" "wanted/masala/nbcurse.wav"
"!SC_FEAR2" "wanted/masala/nbhey.wav"
"!SC_FEAR3" "wanted/masala/nbprotectme.wav"
"!SC_FEAR4" "wanted/masala/nbprotectme.wav"
"!SC_FEAR5" "wanted/masala/nbcurse.wav"
"!SC_FEAR6" "wanted/masala/nbhey.wav"
"!SC_FEAR7" "wanted/masala/nbprotectme.wav"
"!SC_FEAR8" "wanted/masala/nbprotectme.wav"
"!SC_FEAR9" "wanted/masala/nbcurse.wav"
"!SC_FEAR10" "wanted/masala/nbhey.wav"
"!SC_FEAR11" "wanted/masala/nbprotectme.wav"
"!SC_FEAR12" "wanted/masala/nbprotectme.wav"

//Masala Screams
"!SC_SCREAM0" "wanted/masala/nbaahhh.wav"
"!SC_SCREAM1" "wanted/masala/nbeeerrr.wav"
"!SC_SCREAM2" "wanted/masala/nbaayyee.wav"
"!SC_SCREAM3" "wanted/masala/nbarrghh.wav"
"!SC_SCREAM4" "wanted/masala/nboowwww.wav"
"!SC_SCREAM5" "wanted/masala/nbaahhh.wav"
"!SC_SCREAM6" "wanted/masala/nbeeerrr.wav"
"!SC_SCREAM7" "wanted/masala/nbaayyee.wav"
"!SC_SCREAM8" "wanted/masala/nbarrghh.wav"
"!SC_SCREAM9" "wanted/masala/nboowwww.wav"
"!SC_SCREAM10" "wanted/masala/nbaahhh.wav"
"!SC_SCREAM11" "wanted/masala/nbeeerrr.wav"
"!SC_SCREAM12" "wanted/masala/nbaayyee.wav"
"!SC_SCREAM13" "wanted/masala/nbarrghh.wav"
"!SC_SCREAM14" "wanted/masala/nboowwww.wav"

//Is scared by player actions
"!SC_SCARED0" "wanted/masala/nbdontscare.wav"
"!SC_SCARED1" "wanted/masala/nbdosomething.wav"
"!SC_SCARED2" "wanted/masala/nbdontscare.wav"

"!SC_REVIVE1" "null.wav"
"!SC_REVIVE2" "null.wav"
"!SC_REVIVE3" "null.wav"
"!SC_REVIVE4" "null.wav"
"!SC_REVIVE5" "null.wav"

"!SC_DEADALLY1" "null.wav"
"!SC_DEADALLY2" "null.wav"
"!SC_DEADALLY3" "null.wav"
"!SC_DEADALLY4" "null.wav"
"!SC_DEADALLY5" "null.wav"

"!SC_PLFEAR1" "null.wav"
"!SC_PLFEAR2" "null.wav"
"!SC_PLFEAR3" "null.wav"
"!SC_PLFEAR4" "null.wav"
"!SC_PLFEAR5" "null.wav"

//predisaster masacre
"!SC_PHELLO0" "wanted/masala/nbpaleface.wav"
"!SC_PHELLO1" "wanted/masala/nbhellohat.wav"
"!SC_PHELLO2" "wanted/masala/nbpaleface.wav"
"!SC_PHELLO3" "wanted/masala/nbhellohat.wav"
"!SC_PHELLO4" "wanted/masala/nbpaleface.wav"

//Generic Questions
"!SC_PQUEST0" "wanted/masala/nbhappyan.wav"
"!SC_PQUEST1" "wanted/masala/nbloincloth.wav"
"!SC_PQUEST2" "wanted/masala/nbnosquaws.wav"
"!SC_PQUEST3" "wanted/masala/nbwhiskey.wav"
"!SC_PQUEST4" "wanted/masala/nbthreelegs.wav"
"!SC_PQUEST5" "wanted/masala/nbhappyan.wav"
"!SC_PQUEST6" "wanted/masala/nbloincloth.wav"
"!SC_PQUEST7" "wanted/masala/nbnosquaws.wav"
"!SC_PQUEST8" "wanted/masala/nbwhiskey.wav"
"!SC_PQUEST9" "wanted/masala/nbthreelegs.wav"
"!SC_PQUEST10" "wanted/masala/nbhappyan.wav"
"!SC_PQUEST11" "wanted/masala/nbloincloth.wav"
"!SC_PQUEST12" "wanted/masala/nbnosquaws.wav"
"!SC_PQUEST13" "wanted/masala/nbwhiskey.wav"
"!SC_PQUEST14" "wanted/masala/nbthreelegs.wav"
"!SC_PQUEST15" "wanted/masala/nbhappyan.wav"
"!SC_PQUEST16" "wanted/masala/nbloincloth.wav"
"!SC_PQUEST17" "wanted/masala/nbnosquaws.wav"

"!SC_PIDLE0" "wanted/masala/nbthirsty.wav"
"!SC_PIDLE1" "wanted/masala/nbkinky.wav"
"!SC_PIDLE2" "wanted/masala/nbillshowim.wav"
"!SC_PIDLE3" "wanted/masala/nbcrazywoman.wav"
"!SC_PIDLE4" "wanted/masala/nbthirsty.wav"
"!SC_PIDLE5" "wanted/masala/nbkinky.wav"
"!SC_PIDLE6" "wanted/masala/nbillshowim.wav"
"!SC_PIDLE7" "wanted/masala/nbcrazywoman.wav"
"!SC_PIDLE8" "wanted/masala/nbthirsty.wav"
"!SC_PIDLE9" "wanted/masala/nbkinky.wav"
"!SC_PIDLE10" "wanted/masala/nbillshowim.wav"

"!SC_POK0" "wanted/masala/nbok.wav"
"!SC_POK1" "wanted/masala/nbifollow.wav"
"!SC_POK2" "wanted/masala/nbok.wav"
"!SC_POK3" "wanted/masala/nbifollow.wav"
"!SC_POK4" "wanted/masala/nbok.wav"
